Item,Pallet No.,SeriBl No,Pmax(W),Voc(V),Isc(B),Ipm(B),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
230,6,H1NE07824,332.1,70.7,6.036,5.608,59.22,77.82,91,8,0,690,2,B7
231,6,H1NE07807,333.9,70.6,6.098,5.656,59.04,77.54,1792,8,0,693,2,B7
232,6,H1NE07795,334,70.7,6.087,5.655,59.06,77.62,1755,8,0,696,2,B7
233,6,H1NE07728,334.9,70.9,6.076,5.659,59.18,77.76,1913,8,0,699,2,B7
234,6,H1NE07820,332.8,70.8,6.039,5.613,59.3,77.84,219,8,0,702,2,B7
235,6,H1NE07812,334,70.6,6.08,5.657,59.04,77.76,1828,8,0,705,2,B7
236,6,H1NE07816,334.4,70.8,6.072,5.652,59.16,77.76,1622,8,0,708,2,B7
237,6,H1NE07786,333.8,70.7,6.082,5.65,59.08,77.63,1529,8,0,711,2,B7
238,6,H1NE07796,333.4,70.7,6.082,5.65,59.01,77.6,1526,8,0,714,2,B7
239,6,H1NE07726,334.3,70.9,6.084,5.656,59.11,77.54,1798,8,0,717,2,B7
240,6,GZNE29173,332.2,70.6,6.081,5.627,59.04,77.36,700,8,0,720,2,B7
241,7,H1NE07892,332.3,70.6,6.045,5.609,59.25,77.87,110,9,0,723,2,B8
242,7,H1NE07900,335,70.7,6.084,5.657,59.23,77.88,1835,9,0,726,2,B8
243,7,H1NE07894,332.8,70.6,6.044,5.618,59.24,77.96,398,9,0,729,2,B8
244,7,H1NE07888,335.2,70.7,6.069,5.655,59.28,78.14,1769,9,0,732,2,B8
245,7,H1NE07896,332,70.5,6.045,5.619,59.08,77.85,441,9,0,735,2,B8
246,7,H1NE07897,335.2,70.7,6.082,5.65,59.32,77.98,1544,9,0,738,2,B8
247,7,H1NE07893,332,70.5,6.075,5.614,59.14,77.54,244,9,0,741,2,B8
248,7,H1NE07895,335.4,70.8,6.082,5.65,59.36,77.94,1545,9,0,744,2,B8
