Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1099,28,H1NE07587,332.6,70.7,6.055,5.609,59.3,77.68,116,18,0,3297,14,S31
1100,28,H1NE07598,332.9,70.7,6.06,5.61,59.34,77.7,145,18,0,3300,14,S31
1101,28,H1NE07600,332.8,70.7,6.053,5.613,59.28,77.7,220,18,0,3303,14,S31
1102,28,H1NE07602,332.6,70.8,6.055,5.609,59.3,77.64,117,18,0,3306,14,S31
1103,28,H1NE07604,333,70.7,6.042,5.608,59.38,77.95,97,18,0,3309,14,S31
1104,28,H1NE07605,332.3,70.7,6.056,5.611,59.23,77.67,162,18,0,3312,14,S31
1105,28,H1NE07475,333.4,70.8,6.064,5.611,59.42,77.63,176,18,0,3315,14,S31
1106,28,H1NE07607,332.7,70.6,6.063,5.619,59.21,77.7,447,18,0,3318,14,S31
1107,28,H1NE07608,331,70.8,6.057,5.611,58.99,77.24,149,18,0,3321,14,S28
1108,28,H1NE07606,334.8,70.9,6.065,5.649,59.26,77.89,1492,18,0,3324,14,S27
1109,28,H1NE07576,333.5,70.8,6.056,5.64,59.14,77.78,1070,18,0,3327,14,S35
1110,28,H1NE07577,333.7,70.9,6.065,5.639,59.16,77.63,1036,18,0,3330,14,S35
1111,28,H1NE07579,330.5,70.8,6.07,5.624,58.76,76.95,623,18,0,3333,14,S35
1112,28,H1NE07528,333.3,70.8,6.069,5.613,59.37,77.6,228,18,0,3336,14,S28
1113,28,H1NE07580,333.3,70.8,6.063,5.644,59.05,77.65,1235,18,0,3339,14,S27
1114,28,H1NE07581,330.7,70.8,6.031,5.599,59.05,77.5,8,18,0,3342,04,N77
1115,28,H1NE07582,331.7,70.6,6.046,5.605,59.17,77.67,49,18,0,3345,08,N80
1116,28,H1NE07578,331.4,70.6,6.044,5.599,59.19,77.62,9,18,0,3348,04,N77
1117,28,H1NE07527,335.1,70.9,6.074,5.653,59.28,77.87,1671,18,0,3351,14,S27
1118,28,H1NE07584,331.5,70.6,6.046,5.609,59.1,77.66,103,18,0,3354,14,S28
1119,28,H1NE07562,332.4,70.7,6.054,5.614,59.21,77.7,248,18,0,3357,14,S28
1120,28,GZNE29674,332.2,70.6,6.063,5.625,59.06,77.63,652,18,0,3360,16,S63
1121,29,H1NE07636,332.8,70.7,6.052,5.612,59.3,77.75,187,32,0,3363,01,N02
